Event ,County ,District ,Division ,Date ,Place,Deaths ,Injured ,Missing ,Houses Destroyed ,Houses Damaged ,Victims ,Affected ,Relocated ,Evacuated ,Losses $USD ,Losses $Local ,Education centers ,Hospitals ,Damages in crops Ha. ,Lost Cattle ,Damages in roads Mts ,Comments,Responder: military ,Responder: police ,Responder: Red Cross ,Responder: MOSP ,Responder: Nairobi Fire Brigade ,Responder: KPLC ,Responder: UNICEF ,Responder: Saint John Ambulance ,Responder: IRC ,Other Responders ,House: Iron Sheet ,House: Wooden ,House: Mud ,House: Grass Thatched ,House: Tent ,Coordinate Info,County_GIS,Constituency_GIS,County Centriod
DROUGHT,TANA RIVER,TANA RIVER,BANGALE,01/04/2010 12:00:00 AM,Bangale,,,,,,,,,,0,0,,yes,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOK, AMIRAN",NA,NA,NA,NA,NA,"(-0.421694549, 38.98876291)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
DROUGHT,MANDERA,MANDERA,BANISA,09/03/2011 12:00:00 AM,,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(3.891945397, 40.23673622)",MANDERA,MANDERA SOUTH,"(3.43646948803, 40.73881016670)"
DROUGHT,MANDERA,MANDERA,BANISA,01/08/2009 12:00:00 AM,Mandera North,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(3.891945397, 40.23673622)",MANDERA,MANDERA SOUTH,"(3.43646948803, 40.73881016670)"
DROUGHT,SAMBURU,SAMBURU NORTH,BARAGOI,09/03/2011 12:00:00 AM,,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(1.658640078, 36.69256768)",SAMBURU,SAMBURU NORTH,"(1.31685462605, 37.11839406700)"
FLOOD,SIAYA,BONDO,BONDO,04/01/2010 12:00:00 AM,Nyang'oma,,,,,,,,,,0,0,,,,0,,4 roads and a bridge destroyed,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.477669085, 34.32483693)",SIAYA,UGENYA,"(-0.06212988862, 34.24764170450)"
DROUGHT,SIAYA,BONDO,BONDO,01/03/2011 12:00:00 AM,,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.477669085, 34.32483693)",SIAYA,UGENYA,"(-0.06212988862, 34.24764170450)"
FLOOD,SIAYA,BONDO,BONDO,07/09/2003 12:00:00 AM,,,,,,,,,,,0,0,,,4000,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.477669085, 34.32483693)",SIAYA,UGENYA,"(-0.06212988862, 34.24764170450)"
FLOOD,SIAYA,BONDO,BONDO,05/15/2002 12:00:00 AM,,3,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.477669085, 34.32483693)",SIAYA,UGENYA,"(-0.06212988862, 34.24764170450)"
DROUGHT,BUSIA,BUSIA,BUDALANGI,01/03/2011 12:00:00 AM,Bunyala District,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.073267084, 34.00334232)",BUSIA,TESO NORTH,"(0.38744367755, 34.19363148840)"
FLOOD,BUSIA,BUSIA,BUDALANGI,11/13/2008 12:00:00 AM,"Lugari, Mukobola, Siginga, mundere",,,,3,,,40679,2295,,0,0,,,,0,,"3 schools submerged, ground water submerged, and surface sources contaminated",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.073267084, 34.00334232)",BUSIA,TESO NORTH,"(0.38744367755, 34.19363148840)"
FLOOD,BUSIA,BUSIA,BUDALANGI,08/21/2007 12:00:00 AM,Rugunga,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.073267084, 34.00334232)",BUSIA,TESO NORTH,"(0.38744367755, 34.19363148840)"
FLOOD,BUSIA,BUSIA,BUDALANGI,08/21/2007 12:00:00 AM,Osieko,,,,,,,2710,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOH, MOE, Ministry of Public Works",NA,NA,NA,NA,NA,"(0.073267084, 34.00334232)",BUSIA,TESO NORTH,"(0.38744367755, 34.19363148840)"
FLOOD,BUSIA,BUSIA,BUDALANGI,08/21/2007 12:00:00 AM,Buhuma,,,,,,,280,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOH, MOE, Ministry of Public Works",NA,NA,NA,NA,NA,"(0.073267084, 34.00334232)",BUSIA,TESO NORTH,"(0.38744367755, 34.19363148840)"
FLOOD,BUSIA,BUSIA,BUDALANGI,08/21/2007 12:00:00 AM,Iyanga,,,,,,,380,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOH, MOE, Ministry of Public Works",NA,NA,NA,NA,NA,"(0.073267084, 34.00334232)",BUSIA,TESO NORTH,"(0.38744367755, 34.19363148840)"
EPIDEMIC,NAIROBI,NAIROBI,CENTRAL NAIROBI,04/08/2009 12:00:00 AM,,,,,,,,7,,,0,0,,Yes,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-1.267622133, 36.84605137)",NAIROBI,KAMUKUNJI,"(-1.29341347028, 36.86818926820)"
FLOOD,BUSIA,BUSIA,BUDALANGI,08/21/2007 12:00:00 AM,Bubamba,,,,,,,384,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.073267084, 34.00334232)",BUSIA,TESO NORTH,"(0.38744367755, 34.19363148840)"
FLOOD,BUSIA,BUSIA,BUDALANGI,08/21/2007 12:00:00 AM,Rukala - Budalangi North,,,,,,,1344,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOH, MOE, Ministry of Public Works",NA,NA,NA,NA,NA,"(0.073267084, 34.00334232)",BUSIA,TESO NORTH,"(0.38744367755, 34.19363148840)"
FLOOD,BUSIA,BUSIA,BUDALANGI,08/20/2007 12:00:00 AM,Bunyala Central,,,,,,,6800,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOH, MOE, Ministry of Public Works",NA,NA,NA,NA,NA,"(0.073267084, 34.00334232)",BUSIA,TESO NORTH,"(0.38744367755, 34.19363148840)"
FLOOD,BUSIA,BUSIA,BUDALANGI,08/20/2007 12:00:00 AM,Khajula,,,,,,,5800,,,0,0,,Yes,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOH, MOE, Ministry of Public Works",NA,NA,NA,NA,NA,"(0.073267084, 34.00334232)",BUSIA,TESO NORTH,"(0.38744367755, 34.19363148840)"
FLOOD,BUSIA,BUSIA,BUDALANGI,08/20/2007 12:00:00 AM,Bunyala South,,,,,,,5400,,,0,0,,Yes,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOH, MOE, Ministry of Public Works",NA,NA,NA,NA,NA,"(0.073267084, 34.00334232)",BUSIA,TESO NORTH,"(0.38744367755, 34.19363148840)"
FLOOD,BUSIA,BUSIA,BUDALANGI,01/11/2008 12:00:00 AM,Khajula,,,,,,,3500,,,0,0,,,1200,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.073267084, 34.00334232)",BUSIA,TESO NORTH,"(0.38744367755, 34.19363148840)"
FLOOD,BUSIA,BUSIA,BUDALANGI,11/15/2008 12:00:00 AM,Bunyala North,,,,,,,4000,,,0,0,,,500,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.073267084, 34.00334232)",BUSIA,TESO NORTH,"(0.38744367755, 34.19363148840)"
FLOOD,BUSIA,BUSIA,BUDALANGI,11/15/2008 12:00:00 AM,Bunyala West,,,,,,,5000,,,0,0,,,70,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.073267084, 34.00334232)",BUSIA,TESO NORTH,"(0.38744367755, 34.19363148840)"
FLOOD,BUSIA,BUSIA,BUDALANGI,11/12/2003 12:00:00 AM,,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.073267084, 34.00334232)",BUSIA,TESO NORTH,"(0.38744367755, 34.19363148840)"
FLOOD,BUSIA,BUSIA,BUDALANGI,01/05/2009 12:00:00 AM,Budalangi,,,,,,,,,,0,0,,yes,,0,,1000 families were affected,NA,NA,NA,NA,NA,NA,NA,NA,NA,GOK,NA,NA,NA,NA,NA,"(0.073267084, 34.00334232)",BUSIA,TESO NORTH,"(0.38744367755, 34.19363148840)"
FLOOD,BUSIA,BUSIA,BUDALANGI,05/15/2013 12:00:00 AM,Bunyala South,,,,,,,4000,800,,0,0,2,yes,,0,,"The 800 displaced families camped at Bunyala Technical Institute and Makunda Secondary School. SFarms were submerged , crop and harvest destroyed.[...]",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.073267084, 34.00334232)",BUSIA,TESO NORTH,"(0.38744367755, 34.19363148840)"
DROUGHT,WAJIR,Wajir North,BUNA,09/03/2011 12:00:00 AM,,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(2.757441012, 39.50949058)",WAJIR,WAJIR WEST,"(1.80813762380, 40.03498563960)"
FLOOD,WAJIR,Wajir North,BUNA,10/28/2006 12:00:00 AM,,,,,,,,210,,,0,0,,,,0,,"210 families were affected, Buna Trading Centre, Buna Primary School and sorrounding areas are completely submerged in water",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(2.757441012, 39.50949058)",WAJIR,WAJIR WEST,"(1.80813762380, 40.03498563960)"
FLOOD,TANA RIVER,TANA RIVER,BURA,01/03/2012 12:00:00 AM,,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.968450022, 39.42713482)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
DROUGHT,TANA RIVER,TANA RIVER,BURA,01/04/2010 12:00:00 AM,Bura,,,,,,,,,,0,0,,yes,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOK, AMIRAN",NA,NA,NA,NA,NA,"(-0.968450022, 39.42713482)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
FLOOD,TANA RIVER,TANA RIVER,BURA,03/21/2010 12:00:00 AM,Chwele,,,,,,,,,,0,0,,yes,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,GOK,NA,NA,NA,NA,NA,"(-0.968450022, 39.42713482)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
FLOOD,TANA RIVER,TANA RIVER,BURA,03/21/2010 12:00:00 AM,Holo Village - Hilima,,,,25,,,70,,,0,0,,yes,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,GOK,NA,NA,NA,NA,NA,"(-0.968450022, 39.42713482)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
FLOOD,TANA RIVER,TANA RIVER,BURA,05/21/2010 12:00:00 AM,Safeje,,,,,,,,,,0,0,,yes,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,GOK,NA,NA,NA,NA,NA,"(-0.968450022, 39.42713482)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
FLOOD,TANA RIVER,TANA RIVER,BURA,05/21/2010 12:00:00 AM,Kiendeni Village,,,,30,,,,,,0,0,,yes,18,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,GOK,NA,NA,NA,NA,NA,"(-0.968450022, 39.42713482)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
FLOOD,TANA RIVER,TANA RIVER,BURA,04/30/2013 12:00:00 AM,Tana North District,,,,,,,584,,,0,0,,yes,,0,,Relief was given as the victims waited for the situation to normalise.,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.968450022, 39.42713482)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
FLOOD,TANA RIVER,TANA RIVER,BURA,04/13/2013 12:00:00 AM,Tana River,,,,,,,225,,,0,0,,,,0,,"The displaced people were integrated into the community. Main roads and feeder roads were affected, Hola Waldena bridge was broken.",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.968450022, 39.42713482)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
FLOOD,TANA RIVER,TANA RIVER,BURA,07/05/2013 12:00:00 AM,Bura,,,,,,,4000,,,0,0,,yes,,0,,"Relief food, medication and other non-food items were provided to the victims who camped in Morokani, Shikaad, Dalagu, Furaha and Mororo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,FMF,NA,NA,NA,NA,NA,"(-0.968450022, 39.42713482)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
FLOOD,BUSIA,BUSIA,BUSIA TOWNSHIP,03/26/2011 12:00:00 AM,Ekisumu Primary School,2,6,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.432620865, 34.11453866)",BUSIA,TESO NORTH,"(0.38744367755, 34.19363148840)"
EPIDEMIC,BUSIA,BUSIA,BUSIA TOWNSHIP,01/01/2009 12:00:00 AM,Busia,1,,,,,,3,,,0,0,,Yes,,0,,Incidences of cholera were reported as from January to June 2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.432620865, 34.11453866)",BUSIA,TESO NORTH,"(0.38744367755, 34.19363148840)"
FLOOD,BUSIA,BUSIA,BUSIA TOWNSHIP,11/05/2013 12:00:00 AM,"Samia, Bwiri Nambuku",,,,,,,330,,,0,0,,yes,,0,,"Tents, food, medicine, clean water, mobile toilets and household goods were required by the victims.",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.432620865, 34.11453866)",BUSIA,TESO NORTH,"(0.38744367755, 34.19363148840)"
EPIDEMIC,WAJIR,Wajir North,BUTE,01/01/2009 12:00:00 AM,Bute,1,,,,,,2,,,0,0,,Yes,,0,,Incidences of cholera were reported as from January to June 2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(3.260084868, 39.40582944)",WAJIR,WAJIR WEST,"(1.80813762380, 40.03498563960)"
DROUGHT,WAJIR,Wajir North,BUTE,09/03/2011 12:00:00 AM,,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(3.260084868, 39.40582944)",WAJIR,WAJIR WEST,"(1.80813762380, 40.03498563960)"
FLOOD,WAJIR,Wajir North,BUTE,07/11/2008 12:00:00 AM,,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(3.260084868, 39.40582944)",WAJIR,WAJIR WEST,"(1.80813762380, 40.03498563960)"
DROUGHT,KAKAMEGA,BUTERE MUMIAS,BUTERE,01/08/2009 12:00:00 AM,,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.228251755, 34.52088955)",KAKAMEGA,SHINYALU,"(0.40368346399, 34.74451115300)"
FLOOD,BUSIA,BUSIA,BUTULA,08/21/2007 12:00:00 AM,"Elugulu, Bulwani",,,,,,,1750,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOH, MOE, Ministry of Public Works",NA,NA,NA,NA,NA,"(0.342968212, 34.29095636)",BUSIA,TESO NORTH,"(0.38744367755, 34.19363148840)"
FLOOD,MERU,MERU CENTRAL,BUURI,01/14/2010 12:00:00 AM,Tumau,,,,,,,,,,0,0,,,,0,,Timau-Ngare-Ndare Munyangalo roads 90% of bean crops in the district were destroyed,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.187039833, 37.5939773)",MERU,NORTH IMENTI,"(0.16677924134, 37.76403705420)"
DROUGHT,MERU,MERU CENTRAL,BUURI,09/10/2009 12:00:00 AM,Rwarera,,,,,,,,,,0,0,,yes,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,GOK,NA,NA,NA,NA,NA,"(0.187039833, 37.5939773)",MERU,NORTH IMENTI,"(0.16677924134, 37.76403705420)"
EPIDEMIC,BUNGOMA,BUNGOMA EAST,CENTRAL BUNGOMA,01/01/2009 12:00:00 AM,Bungoma,1,,,,,,35,,,0,0,,Yes,,0,,Incidences of cholera were reported as from January to June 2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.657368733, 34.6016497)",BUNGOMA,KANDUYI,"(0.74928523962, 34.64046087560)"
DROUGHT,BUNGOMA,BUNGOMA EAST,CENTRAL BUNGOMA,01/04/2009 12:00:00 AM,Nalondo,,,,,,,7000,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.657368733, 34.6016497)",BUNGOMA,KANDUYI,"(0.74928523962, 34.64046087560)"
EPIDEMIC,GARISSA,GARISSA,CENTRAL GARISSA,02/23/2010 12:00:00 AM,Garissa,,,,,,,4,,,0,0,,Yes,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.461586819, 39.75534704)",GARISSA,BALAMBALA,"(-0.48891034483, 40.19927853780)"
